"Product_ID","Product_Category_1","Product_Category_2","Product_Category_3","Total_Purchase","Num_Purchases"
"P00000142","3","4","5",12306570,1105
"P00000242","2","4","9",3803395,361
"P00000342","5","14","0",1208574,229
"P00000442","5","8","0",439147,91
"P00000542","5","0","0",773144,142
"P00000642","1","6","16",7432656,500
"P00000742","5","14","0",1393837,232
"P00000842","2","4","0",347531,35
"P00000942","1","0","0",564857,53
"P00001042","1","2","16",6572427,478
"P00001142","5","8","14",3711567,556
"P00001242","5","11","0",417303,97
"P00001342","3","4","0",488479,58
"P00001442","8","0","0",598871,81
"P00001542","1","2","14",628586,68
"P00001642","8","16","0",2584886,342
"P00001742","8","14","0",3510311,439
"P00001842","16","0","0",1070550,74
"P00001942","5","0","0",888920,205
"P00002042","1","0","0",858001,89
"P00002142","1","5","8",10014648,707
"P00002242","6","8","16",2539245,188
"P00002342","16","0","0",771901,65
"P00002442","8","15","0",2036460,319
"P00002542","8","14","0",3793903,519
"P00002642","8","0","0",415518,60
"P00002742","8","0","0",232373,38
"P00002842","14","0","0",1221240,82
"P00002942","2","15","0",2851484,217
"P00003042","8","0","0",262859,35
"P00003142","8","0","0",526076,85
"P00003242","8","15","0",6278928,808
"P00003342","2","14","0",19569,2
"P00003442","4","5","8",2524293,927
"P00003542","8","14","0",238272,34
"P00003642","8","0","0",3811178,488
"P00003742","7","0","0",57669,4
"P00003842","5","0","0",69466,15
"P00003942","5","14","0",4543132,710
"P00004042","8","0","0",97265,12
"P00004142","8","17","0",904556,114
"P00004242","1","6","8",1261527,112
"P00004342","8","0","0",613970,90
"P00004442","1","2","0",1573032,141
"P00004542","5","8","0",1653990,269
"P00004642","8","14","0",552207,88
"P00004742","6","16","0",9609584,576
"P00004842","3","4","12",1631850,203
"P00004942","8","14","0",137948,19
"P00005042","6","16","0",17072347,931
"P00005142","5","0","0",1415381,219
"P00005242","8","0","0",35808,4
"P00005342","4","5","0",44023,24
"P00005442","8","0","0",132308,23
"P00005542","2","4","9",33404,4
"P00005642","8","0","0",321630,47
"P00005742","8","14","0",2123945,258
"P00005842","8","13","0",27914,5
"P00005942","2","4","9",1802064,173
"P00006042","8","16","0",206305,34
"P00006142","8","0","0",2066977,281
"P00006242","5","0","0",286285,57
"P00006342","5","14","0",158267,39
"P00006442","5","0","0",308183,85
"P00006542","15","16","0",435264,57
"P00006642","8","0","0",11874,2
"P00006742","5","14","0",163683,26
"P00006842","5","0","0",1175638,182
"P00006942","1","5","6",5943495,481
"P00007042","1","0","0",338830,42
"P00007142","5","8","0",286091,44
"P00007242","8","12","0",875934,118
"P00007342","8","14","0",403805,66
"P00007442","5","8","0",16323,5
"P00007542","15","16","0",932486,75
"P00007642","7","0","0",287190,18
"P00007742","8","0","0",192871,30
"P00007842","8","16","0",326271,60
"P00007942","8","0","0",203651,26
"P00008042","6","8","14",1123937,87
"P00008142","8","0","0",395359,50
"P00008242","8","0","0",126324,18
"P00008342","5","8","0",76961,14
"P00008442","8","14","0",689985,104
"P00008542","2","8","0",1332616,123
"P00008642","4","5","0",67747,44
"P00008742","5","0","0",546058,104
"P00008842","1","16","0",1238218,104
"P00008942","8","0","0",9815,1
"P00009042","8","16","0",214314,44
"P00009142","5","14","0",184348,47
"P00009242","8","0","0",801206,108
"P00009342","1","16","0",3877003,342
"P00009442","5","0","0",36904,6
"P00009542","8","0","0",196895,27
"P00009642","1","16","0",24539,3
"P00009742","7","0","0",325858,23
"P00010042","5","0","0",87267,26
"P00010142","16","0","0",252458,19
"P00010242","5","0","0",2166532,340
"P00010342","8","14","0",1286661,198
"P00010442","5","8","0",35038,6
"P00010542","2","4","5",1318088,128
"P00010642","7","0","0",62902,4
"P00010742","1","8","17",21399770,1301
"P00010842","8","16","0",5338650,644
"P00010942","1","2","6",3999435,299
"P00011042","8","13","0",178495,30
"P00011142","8","0","0",34091,6
"P00011242","7","0","0",386529,24
"P00011342","6","0","0",606704,40
"P00011442","5","14","0",183614,35
"P00011542","5","0","0",16338,4
"P00011642","8","0","0",15818,3
"P00011742","8","0","0",145948,19
"P00011842","5","14","0",429679,86
"P00011942","8","13","14",464210,62
"P00012042","8","0","0",30068,4
"P00012142","5","0","0",1212985,177
"P00012242","2","4","9",314461,48
"P00012342","8","0","0",2118,1
"P00012442","7","0","0",120478,7
"P00012542","5","14","0",26348,5
"P00012742","8","14","0",52422,9
"P00012842","16","0","0",424505,42
"P00012942","5","8","0",1717,1
"P00013142","5","0","0",335734,69
"P00013242","7","0","0",90699,7
"P00013342","7","0","0",41881,3
"P00013442","8","0","0",2277,1
"P00013542","1","8","0",15836,1
"P00013642","8","14","0",410305,65
"P00013742","5","0","0",2156438,344
"P00013842","8","0","0",2021,1
"P00013942","5","0","0",1379401,229
"P00014042","1","0","0",2423828,189
"P00014142","2","4","0",103879,9
"P00014242","8","0","0",741912,105
"P00014342","8","0","0",56243,10
"P00014442","6","8","16",355644,23
"P00014542","8","0","0",5271382,653
"P00014642","8","14","17",2202785,307
"P00014742","11","0","0",146082,35
"P00014842","1","2","5",4146709,401
"P00014942","8","0","0",685357,91
"P00015042","8","17","0",306151,46
"P00015142","5","0","0",202053,32
"P00015242","5","17","0",479485,100
"P00015342","2","4","0",1398935,141
"P00015442","8","0","0",345294,55
"P00015542","1","2","13",2553089,283
"P00015642","8","16","17",2965919,402
"P00015742","7","0","0",3939161,234
"P00015842","1","14","16",3486144,260
"P00015942","6","10","13",2860743,201
"P00016042","1","16","0",6175333,429
"P00016142","5","8","0",120746,29
"P00016242","8","0","0",13900,2
"P00016342","1","2","8",2105419,186
"P00016442","2","4","8",401629,61
"P00016542","1","6","16",1821061,154
"P00016642","5","0","0",308617,50
"P00016742","1","15","16",2599953,254
"P00016842","1","2","15",2724303,294
"P00016942","5","0","0",186338,43
"P00017042","8","0","0",822729,120
"P00017142","5","0","0",857586,122
"P00017242","11","0","0",257941,66
"P00017342","5","0","0",61875,10
"P00017442","8","14","0",108492,26
"P00017542","5","0","0",1486633,237
"P00017642","1","4","0",320833,49
"P00017742","8","14","0",210454,33
"P00017842","16","0","0",244193,17
"P00017942","8","0","0",79063,12
"P00018042","15","16","0",3553813,290
"P00018142","5","0","0",518554,106
"P00018242","5","0","0",343293,60
"P00018342","11","0","0",488112,103
"P00018442","5","0","0",49143,8
"P00018542","16","0","0",760520,47
"P00018642","8","0","0",201371,41
"P00018742","7","0","0",25306,2
"P00018842","8","0","0",375707,90
"P00018942","8","0","0",865587,116
"P00019042","5","8","14",345049,70
"P00019142","11","15","0",1255101,298
"P00019242","8","0","0",58000,8
"P00019342","1","6","15",4200861,320
"P00019442","8","12","0",453923,59
"P00019542","16","0","0",62222,5
"P00019642","8","0","0",100768,18
"P00019742","8","14","0",68180,12
"P00019842","5","0","0",590681,107
"P00019942","1","0","0",1188842,103
"P00020042","5","8","0",291536,45
"P00020142","7","0","0",718510,47
"P00020242","8","14","0",703773,114
"P00020342","1","2","0",3488734,341
"P00020442","8","0","0",147349,31
"P00020542","18","0","0",46025,20
"P00020642","8","0","0",142846,20
"P00020742","5","0","0",30203,7
"P00020842","8","0","0",497797,63
"P00020942","8","0","0",113556,14
"P00021042","8","14","0",590382,77
"P00021142","5","0","0",972356,177
"P00021242","8","16","0",193301,38
"P00021342","5","8","0",581658,107
"P00021442","8","0","0",73571,10
"P00021542","11","0","0",48590,17
"P00021642","8","14","0",1217171,172
"P00021742","5","0","0",5197972,743
"P00021842","5","8","14",1156639,195
"P00021942","8","16","0",842165,135
"P00022042","16","0","0",8734,1
"P00022142","1","0","0",762209,73
"P00022242","5","0","0",42526,10
"P00022342","8","16","0",479672,67
"P00022442","8","16","0",1252056,179
"P00022542","5","0","0",2006857,353
"P00022642","5","8","0",1267191,176
"P00022742","8","0","0",916189,124
"P00022842","5","0","0",338505,87
"P00022942","5","8","0",3261782,506
"P00023042","5","14","0",1033699,176
"P00023142","5","14","0",784185,150
"P00023242","2","4","0",154915,17
"P00023342","3","4","5",704448,90
"P00023442","16","0","0",226338,20
"P00023542","4","8","0",30266,14
"P00023642","8","12","0",295067,42
"P00023742","5","0","0",17764,4
"P00023842","3","4","0",25096,5
"P00023942","6","8","0",78440,6
"P00024042","7","0","0",6566152,375
"P00024142","8","9","14",1972514,255
"P00024242","5","0","0",387692,76
"P00024342","8","14","0",1075779,141
"P00024442","4","5","0",25157,14
"P00024542","1","0","0",136554,10
"P00024642","5","14","0",1054855,182
"P00024742","8","11","0",2790259,397
"P00024842","8","0","0",109543,17
"P00024942","5","0","0",140317,38
"P00025042","5","15","0",531128,113
"P00025142","13","16","0",35139,55
"P00025242","2","4","5",576278,70
"P00025342","6","8","16",624624,52
"P00025442","1","2","9",26691258,1537
"P00025542","8","0","0",1156194,162
"P00025642","4","8","0",260631,95
"P00025742","8","0","0",109453,13
"P00025842","8","0","0",15636,2
"P00025942","8","14","0",3250689,417
"P00026042","8","14","17",2463256,362
"P00026142","5","0","0",354929,71
"P00026242","8","0","0",202856,31
"P00026342","8","0","0",188802,27
"P00026442","8","14","0",231235,35
"P00026542","8","0","0",211265,33
"P00026642","8","0","0",1480028,198
"P00026742","8","11","0",757521,128
"P00026842","5","0","0",43122,10
"P00026942","5","0","0",174193,37
"P00027042","5","14","0",602081,121
"P00027142","8","0","0",521682,82
"P00027242","5","0","0",106484,22
"P00027342","8","0","0",169348,22
"P00027442","8","16","0",828881,118
"P00027542","8","0","0",941986,130
"P00027642","8","0","0",668185,103
"P00027742","6","8","0",89931,8
"P00027842","1","15","16",12128,1
"P00027942","5","14","0",32288,7
"P00028042","1","16","0",4344701,357
"P00028142","5","14","0",526401,87
"P00028242","6","8","0",1523723,95
"P00028342","16","0","0",276569,28
"P00028442","1","8","16",5121050,400
"P00028542","6","8","14",8002836,479
"P00028642","5","14","0",94990,18
"P00028742","5","14","0",53132,12
"P00028842","6","8","0",20109199,1143
"P00028942","8","0","0",73905,14
"P00029042","5","0","0",91346,13
"P00029142","8","0","0",514926,74
"P00029242","8","0","0",2588124,346
"P00029342","8","14","0",167922,25
"P00029442","8","14","0",338250,45
"P00029542","1","2","18",2409292,206
"P00029642","5","8","0",113535,22
"P00029742","5","0","0",323003,73
"P00029842","8","0","0",1530222,181
"P00029942","8","0","0",876859,109
"P00030042","8","0","0",832772,106
"P00030142","8","0","0",176582,25
"P00030242","5","0","0",13959,2
"P00030442","5","0","0",229229,54
"P00030542","3","4","0",204054,25
"P00030642","8","0","0",1118480,148
"P00030742","1","0","0",802307,76
"P00030842","1","2","15",7857036,571
"P00030942","4","5","9",786772,347
"P00031042","8","0","0",10251044,1133
"P00031142","16","0","0",2272176,137
"P00031242","10","16","0",306575,19
"P00031342","8","0","0",247929,33
"P00031442","5","8","0",675594,102
"P00031542","5","0","0",114131,16
"P00031642","5","0","0",137419,31
"P00031742","8","0","0",272052,32
"P00031842","1","5","12",1956503,188
"P00031942","11","0","0",375612,80
"P00032042","1","2","15",7045444,532
"P00032142","5","11","0",355123,75
"P00032242","8","0","0",81914,13
"P00032342","11","15","0",309112,81
"P00032442","5","0","0",1364685,224
"P00032542","8","0","0",469642,63
"P00032642","13","16","0",13738,21
"P00032742","8","17","0",58168,11
"P00032842","8","0","0",2814517,367
"P00032942","15","16","0",1449626,117
"P00033042","5","14","0",2293085,371
"P00033142","2","8","0",460613,43
"P00033242","8","0","0",120083,16
"P00033342","5","14","0",1683675,261
"P00033442","4","0","0",30963,20
"P00033542","5","0","0",2180454,400
"P00033642","5","8","0",1537952,230
"P00033742","8","12","0",458813,65
"P00033842","8","0","0",178230,27
"P00033942","5","0","0",1441739,221
"P00034042","1","2","16",8079328,560
"P00034142","8","13","16",1821395,269
"P00034242","5","8","14",840754,137
"P00034342","5","0","0",370333,65
"P00034442","1","14","16",5184131,387
"P00034542","8","0","0",251005,38
"P00034642","4","5","0",207229,127
"P00034742","5","14","17",8379655,1163
"P00034842","5","14","0",4348126,657
"P00034942","8","0","0",454411,69
"P00035042","5","8","14",75357,12
"P00035142","1","5","0",615647,64
"P00035242","8","14","0",987656,147
"P00035342","2","4","14",1400040,128
"P00035442","7","0","0",579328,34
"P00035542","3","4","12",6108568,577
"P00035642","8","0","0",221071,36
"P00035742","11","0","0",567439,132
"P00035842","5","6","9",3559325,612
"P00035942","1","5","18",5682627,412
"P00036042","8","0","0",173126,26
"P00036142","5","0","0",1018949,208
"P00036242","5","8","0",666162,119
"P00036342","5","8","0",1188657,213
"P00036442","16","0","0",2308716,146
"P00036542","4","5","0",151224,103
"P00036642","8","0","0",56050,9
"P00036742","1","16","0",2301499,180
"P00036842","1","14","16",11636441,841
"P00036942","5","14","0",420723,79
"P00037042","1","15","0",2372357,210
"P00037142","1","2","5",10299150,722
"P00037242","8","0","0",690105,105
"P00037342","8","11","0",861529,147
"P00037442","18","0","0",366633,145
"P00037542","1","0","0",284613,25
"P00037642","8","0","0",33547,5
"P00037742","8","0","0",101120,20
"P00037842","1","5","0",563947,55
"P00037942","8","0","0",332633,46
"P00038042","8","14","17",71799,10
"P00038142","1","5","8",387791,26
"P00038242","6","8","0",324277,24
"P00038342","2","4","0",124830,13
"P00038442","1","0","0",436174,61
"P00038542","1","0","0",206252,14
"P00038642","8","0","0",8062,1
"P00038742","11","0","0",21037,6
"P00038842","7","0","0",16895,1
"P00039142","7","0","0",41542,3
"P00039242","1","15","0",966840,108
"P00039342","8","0","0",52203,7
"P00039442","11","16","0",458863,104
"P00039542","8","0","0",234793,35
"P00039642","8","0","0",131791,22
"P00039742","5","0","0",1262023,240
"P00039842","5","0","0",30088,7
"P00039942","8","0","0",1168903,163
"P00040042","5","0","0",610163,139
"P00040142","5","0","0",212704,46
"P00040242","5","16","0",401761,90
"P00040342","18","0","0",98688,48
"P00040442","5","14","0",657815,109
"P00040542","8","0","0",68494,12
"P00040642","5","0","0",287317,71
"P00040742","1","5","0",1709237,175
"P00040842","2","4","0",572511,49
"P00040942","16","0","0",447231,35
"P00041042","1","16","0",1510020,123
"P00041142","8","0","0",180679,38
"P00041242","8","14","0",369708,51
"P00041342","11","15","16",709456,151
"P00041442","13","14","16",41763,93
"P00041542","8","0","0",1060439,134
"P00041642","5","0","0",413045,97
"P00041742","8","0","0",62246,12
"P00041842","6","8","0",2783613,183
"P00041942","5","18","0",958194,213
"P00042042","5","0","0",104895,22
"P00042142","1","2","6",4558854,376
"P00042242","5","15","0",1265417,272
"P00042342","8","16","0",411262,78
"P00042442","5","0","0",105798,29
"P00042542","1","5","0",788611,76
"P00042742","5","14","0",3256227,488
"P00042842","5","0","0",2307297,349
"P00042942","1","15","0",3943453,335
"P00043042","7","0","0",186084,12
"P00043142","5","14","0",197400,46
"P00043242","5","0","0",254028,53
"P00043342","8","14","0",1057662,127
"P00043442","5","14","0",55261,12
"P00043542","8","0","0",897746,125
"P00043642","5","0","0",218637,36
"P00043742","5","8","0",625607,110
"P00043842","8","13","14",334219,51
"P00043942","8","0","0",120785,18
"P00044042","5","0","0",200429,35
"P00044142","8","16","0",3075314,437
"P00044242","2","4","8",1165758,139
"P00044342","8","0","0",441640,56
"P00044442","1","16","0",17063303,1076
"P00044542","8","18","0",277632,43
"P00044642","1","0","0",770388,67
"P00044742","5","0","0",91036,20
"P00044842","8","14","0",289299,45
"P00044942","1","2","0",146316,13
"P00045042","6","8","16",276456,25
"P00045142","1","2","6",1194216,111
"P00045242","1","8","17",728410,55
"P00045342","1","5","17",3159396,287
"P00045442","5","0","0",143967,25
"P00045542","5","14","0",1106050,194
"P00045642","8","14","0",212008,37
"P00045742","5","0","0",70119,20
"P00045842","5","14","0",1934628,306
"P00045942","5","8","0",111730,22
"P00046042","5","17","0",327631,84
"P00046142","1","16","0",7311774,494
"P00046242","8","0","0",1164498,152
"P00046342","5","8","0",87884,20
"P00046442","8","0","0",749669,108
"P00046542","5","0","0",44494,10
"P00046642","1","0","0",832331,77
"P00046742","1","2","15",20358921,1385
"P00046842","8","16","0",1057212,153
"P00046942","16","0","0",1290128,87
"P00047042","8","0","0",313928,43
"P00047142","2","4","0",174399,19
"P00047242","1","5","0",2655305,268
"P00047342","5","0","0",136750,29
"P00047442","5","18","0",113481,27
"P00047542","8","0","0",148687,23
"P00047642","5","0","0",230588,51
"P00047742","16","0","0",1279670,89
"P00047842","8","0","0",750789,113
"P00047942","5","13","0",1219140,190
"P00048042","1","6","8",2223534,160
"P00048142","1","16","0",2544156,198
"P00048242","8","0","0",180511,26
"P00048342","5","8","14",121949,21
"P00048442","5","14","0",2335781,334
"P00048542","8","14","0",175703,30
"P00048642","5","14","0",125130,27
"P00048742","5","0","0",2643263,434
"P00048842","8","0","0",454404,62
"P00048942","1","4","0",672942,82
"P00049042","8","0","0",56254,8
"P00049142","1","15","0",942209,82
"P00049242","5","0","0",165077,36
"P00049342","8","0","0",439694,62
"P00049442","1","8","0",2228313,166
"P00049542","8","0","0",2317614,299
"P00049642","8","14","0",2358291,319
"P00049742","8","0","0",114838,26
"P00049842","1","8","0",1039348,80
"P00049942","11","15","0",409734,99
"P00050042","5","13","14",189288,36
"P00050142","5","0","0",1139590,182
"P00050242","8","0","0",1789282,226
"P00050342","5","8","17",649514,131
"P00050442","1","8","13",2515322,204
"P00050542","5","0","0",327226,75
"P00050642","15","16","0",849975,100
"P00050742","5","0","0",1016149,200
"P00050842","6","16","0",771666,55
"P00050942","1","8","0",602337,41
"P00051042","8","0","0",415088,59
"P00051142","8","0","0",1842814,252
"P00051242","8","0","0",71775,12
"P00051342","8","0","0",16029,4
"P00051442","8","17","0",10723103,1199
"P00051542","8","0","0",185899,39
"P00051642","8","0","0",3026565,385
"P00051742","8","0","0",5843,1
"P00051842","4","8","0",460221,177
"P00051942","5","6","11",1151988,208
"P00052042","1","0","0",1057429,101
"P00052142","8","14","0",1037468,138
"P00052242","8","0","0",1197159,152
"P00052342","8","0","0",186250,30
"P00052442","5","8","0",599668,108
"P00052542","8","0","0",1319579,171
"P00052642","5","14","0",3395010,514
"P00052742","16","0","0",798987,88
"P00052842","10","15","0",18961174,942
"P00052942","5","0","0",549624,111
"P00053042","5","14","16",2033858,342
"P00053142","1","0","0",697854,69
"P00053242","8","0","0",3937,1
"P00053342","1","2","4",1432425,192
