"User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Total_Purchase","Avg_Purchase","Max_Purchase","Min_Purchase","Num_Purchases"
"1000001","F","0-17","10","A","2","0",333481,9808.26470588235,19219,1057,34
"1000002","M","55+","16","C","4","0",785569,10615.7972972973,20657,3443,74
"1000003","M","26-35","15","A","3","0",293925,11304.8076923077,19631,3646,26
"1000004","M","46-50","7","B","2","1",190488,15874,19693,3849,12
"1000005","M","26-35","20","A","1","1",806199,7751.91346153846,21021,1938,104
"1000006","F","51-55","9","A","1","0",377371,8386.02222222222,19538,1084,45
"1000007","M","36-45","1","B","1","1",234427,14651.6875,19422,7012,16
"1000008","M","26-35","12","C","4","1",776911,10358.8133333333,19944,4031,75
"1000009","M","26-35","17","C","0","0",590528,10545.1428571429,20278,3451,56
"1000010","F","36-45","1","B","4","1",2151245,9823.03652968036,20957,1369,219
"1000011","F","26-35","1","C","1","0",556902,8071.04347826087,20175,1726,69
"1000012","M","26-35","12","C","2","0",120801,10981.9090909091,19031,3576,11
"1000013","M","46-50","1","C","3","1",686312,12040.5614035088,19669,5464,57
"1000014","M","36-45","0","C","0","0",127629,9817.61538461538,20312,3605,13
"1000015","M","26-35","7","A","1","0",993056,8946.45045045045,19653,568,111
"1000016","F","36-45","0","C","0","1",135387,7521.5,19657,3077,18
"1000017","M","51-55","1","C","0","0",1400829,12620.0810810811,23768,759,111
"1000018","F","18-25","3","B","3","0",1908246,11094.4534883721,20235,697,172
"1000019","M","0-17","10","A","3","0",1441719,10224.9574468085,20220,771,141
"1000020","M","26-35","14","A","0","0",185747,15478.9166666667,19669,7039,12
"1000021","M","18-25","16","B","0","0",118601,9883.41666666667,19287,1822,12
"1000022","M","18-25","15","A","4","0",1260843,8295.0197368421,19100,568,152
"1000023","M","36-45","0","B","3","1",1610496,9701.78313253012,21468,557,166
"1000024","F","26-35","7","A","3","1",698098,9433.75675675676,20326,2230,74
"1000025","M","18-25","4","C","4","0",508603,12404.9512195122,19707,559,41
"1000026","M","26-35","7","B","2","1",1564975,7081.33484162896,19676,560,221
"1000027","M","26-35","11","C","1","1",448562,10940.5365853659,23520,3749,41
"1000028","F","26-35","1","C","2","1",489574,9066.18518518518,23209,758,54
"1000029","M","36-45","7","C","1","0",668228,13364.56,19698,4522,50
"1000030","F","36-45","7","C","3","0",245449,8463.75862068966,20411,3114,29
"1000031","M","55+","7","C","2","0",455872,7597.86666666667,19708,1404,60
"1000032","F","26-35","0","C","3","1",218987,9953.95454545455,16764,2056,22
"1000033","M","46-50","3","A","1","1",1854434,9090.36274509804,20925,400,204
"1000034","F","18-25","0","A","0","0",779181,8116.46875,19705,2004,96
"1000035","M","46-50","1","C","4","1",801088,7417.48148148148,19106,755,108
"1000036","M","26-35","3","B","0","0",2261217,11716.1502590674,23257,958,193
"1000037","F","26-35","9","C","1","0",248370,8279,19438,1560,30
"1000039","M","18-25","4","B","2","0",381977,9549.425,20665,1473,40
